Actual Genre,Predicted Genre,Description
 drama , comedy ,behruz young rich guy gamble city cabaret care much wife pouri son saeed guy jamshid cheating woman mina manages win gambling match manages get money back way back home steal money behruz quarrel jamshid cause wife son escape city lost many trouble finally meet live new life together
 comedy , documentary ,deputy mayor laura fitzgerald informed town flatby coast england never actually conquered town wasnt even domesday book area flooded king survey came visit also never official incorporation flatby country follows flatby never officially annexed united kingdom taking advantage situation laura rally townsfolk declare flatby independent state much displeasure government london
 drama , documentary ,based rape took place wrigleyville area chicago story told joe archibald question lie beyond horizon across open water comparing experience life sailor cross treacherous current joe evokes compelling story journey life lost everything people helped shape man became
 music , documentary ,funeral service rita hayworth may church good shepherd beverly hill california pallbearer included actor ricardo montalbn glenn ford ameche agent budd burton moss choreographer hermes pan mourner including film great fan relative friend crowded church hear rita hayworth eulogized sweet kind gentle lady actually shy away camera recollection miss hayworth given jane withers child actress friend miss hayworth internment holy cross cemetery culver city california miss hayworths daughter rebecca welles princess yasmin walked behind coffin
 drama , comedy ,beverly hill alumnus jason priestly take helm warmhearted romantic comedy diehard party girl struggling change frivolous way crystal amy acker come wealthy family love spending money parent money decide time make something life give christmas clean act crystal fail comply credit card promptly cancelled petrified prospect money boyfriend crystal flash inspiration find letter santa seven year old olivia emma duke letter olivia asks santa find widowed father derek david haydnjones new wife owner local soup kitchen derek dedicated life helping others though crystal never set foot soup kitchen soon seek derek begin volunteering time effort get closer little crystal realize dereks girlfriend gina holden anything keep man meanwhile crystal remains determined prove despite obstacle stand way
 adventure , drama ,chuck work deadend job play video game time mainly ignores want desire girlfriend rosie get pregnant chuck refuse change make life better rosie walk chuck loses job chuck friend ignore lost hitting rock bottom chuck must fight life get back everything hold dear adventure take battling drug dealer hippie protester mad scientist insane occult leader devil
 drama , comedy ,ever since kokoro stopped dreaming sleeping cant smile lilou help friend bring dream smile back kokoros life kokoro suddenly disappears lilou want find embarks unusual journey dreambook videogame serve guide second picture izuru kumasaki extraordinary surrealistic childrens tale adult
 short , documentary ,give take story chris green rick kolceski linguistic anthropologist want record indigenous song research chris arrives nearby reservation meet community elder american indian trickster awenheeyoh powless lure forest give take filmed onondaga nation territory central new york state
 comedy , drama ,final adaption popular book play movie lt robert far war action stationed reluctant cargo ship trying get transferred must also deal irascible captain morton trying reign impulsive ensign pulver
 drama , comedy ,three friend facing midlife crisis go unforgettable night boozing dramacomedy matti man anxiously awaiting firstborn erkki lady man lost family rauno failed actor come together christmas eve looking shake loneliness crew head karaoke bar kicking night thatll change three forever
 action , documentary ,independent thriller following horrific sexual assault experienced public park young actress anne decides stop acting remove completely publicity best friend take along expedition trip slovenian mountain far away inhabited world hope mountain air would anne good able get away sorrow meanwhile followed anne stalker exboyfriend bjrn convinced perpetrator follow well public message left facebook
 comedy , drama ,el potento son rich family meet annabelle got know squatting scene later appearing anarchoklaus making aware political reality thus corruptive practice father got lot influence politics father try get back el upper social class marrying socalled baroness dmmlershausen plan fails inability lacking sex appeal demonstration el suspected escaping protester undercover agent get caught crossfire arrested main slob thus also father political career come tragic sudden end
 drama , comedy ,nick get girl way get music online first date eva invite exclusive filesharing community called lionshare nick creative frustration fuel consumption pirated music medium produce nothing eventually find inspiration unlikeliest place
 drama , documentary ,history entente cordiale big small picture french officer occupied village fashoda sudan april series agreement marking rapprochement england france signed turnaround public opinion corresponds parallel evolution intimate feeling two family one english french result french heir marrying english daughter
 drama , short ,complete newly restored version nicholas ray experimental masterpiece embodies director practice filmmaking communal way life ray play film serving mentor friend artistic inspiration student
 comedy , drama ,film tersine dnya traditional role men woman reversed calamity leyla sari leman hasibe friend neighborhood hasibes father passed away mother vasfiye love young man ali meanwhile leman prison find woman killed mother nuriye sentenced prison leman released prison going try seduce zekeriya nuriyes exboyfriend hit back nuriye three friend would meet old city wall play backgammon leyla would lose constantly leyla return neighborhood disturbs resident hollering meantime hasibe ali start feel affection vasfiye happens notice start quarreling meantime leyla fall love yasin young man neighborhood relationship revealed yasins father leylas husband get squabble
 animation , short ,series tell story population city lousiest superhero manman apparent power got mediocre sat score manman bungle foul many situation shouldnt quit day job video store
 sci-fi , drama ,cryptohistorians victorian era adventure set subgenre sciencefiction often referred steampunk world story hg well based fact hit man future inventor present hero past must join force stop war world becoming reality utilizing time travel secret hg well nikola tesla must transport change course history along way enlist aid history dynamic figure prove truth behind motto cryptohistorians future hand
 drama , comedy ,susanne danbury katherine macdonald walter gaylord nigel barrie man love among weekend guest publisher hugh bemis charles clary wife agatha mona kingsley also love walter enacting play susanne shoot bemis gun thought unloaded investigation reveals martin tancray charles gerrard intended bullet gaylord susanne happily exonerated
 romance , comedy ,kg preethi journey young guy guru fall love college mate sri kept hesitating convey assuming might get rejected couple instance made guru sri travel along life journey together come watch journey thats loaded fun craziness fight enjoy
 horror , drama ,disturbed loner montgomery goth struggle maintain sanity working thankless job pizza delivery man montgomery miserable life perk meet girl dream form sweet bibi however thing go awry montgomery inner demon push go murderous deep end
 comedy , drama ,alejandro immigrant relationship older woman maggie day away getting paper meet younger woman iris appears interested companionship coincidentally action reaction thing going well alejandro cheating karma hit back quickly year effort applied becoming citizen jeopardy fleeing ghetto hometown immigrant find way small mountain town manages get relationship older american woman hoping become u citizen immigration hearing devious action catch immigrant fleeing ghetto hometown find way small mountain town manages relationship older american woman hoping become u citizen immigration hearing devious action catch
 western , comedy ,key young woman fortune lie marking leg horse called ghost gaucho woman guardian uncle plot steal wealth
 short , drama ,two brother return site childhood dream lake hollywood michael lost materialism forgotten artistic dream blind beauty around particularly child robert however fulfilling artistic dream attempt reawaken michael passionate creativity shared gift beauty michael life gratitude looking listening
 animation , comedy ,group demon misfit live enchanted hotel called hazbin hotel together try come term existence well deal danger come demon hotel resident different era history extremely negative trait find living together easy one would expect
 short , documentary ,cambridge icon hugh morgan hill know brother blue past away november age brother blue dress blue sock beret butterfly painted palm brother blue spends lot time prison street corner would want listen brother blue think anointed storytelleri mean touched fire say brother blue tell story sleep blow world away
 talk-show , documentary ,live broadcast partnership entrepreneur elevator pitch season young entrepreneur brought knekt tv jewelry one kind dog owner collection presentation pop signature cocktail provided cotiga tequila andre emery art basel collection couture showcase new york city second chance rescue animal charity partner performance sony latin new artist alejandro rosaleny sound awsumac
 musical , comedy ,gi sergeant shep dooley former stage star awaiting discharge postwar tokyo meet estranged love kay arrives entertain troop shep hasnt exactly lost former irresponsibility best court kay anewbut lack admirer labor put soldier show
 thriller , drama ,roger harris stationed tallinn working compile european cyber defence codebook disappeared trip stpetersburg peter quayle attached british embassy belief roger defected tilda robbins posing art historian sent jsc brussels arrives find rogerxacs secretary muriel packing bag intimidated ethnic russianestonian dissident disclose information roger leaving country tilda try dissuade avail left fend tilda visit cyber defence centre interview bettina gittens last person see roger way back forced pull peter quayle introduces mi warns russiaxacs future intention reoccupying estonia country vital european union security tracked kapo estonian secret police svr russian intelligence tilda set find roger codebook run foul ethnic russianestonian dissident rogue agent peter quayle
 comedy , drama ,anna stuck shes approaching living like hermit mum garden shed wondering suffragette ever bothered spends day making video using thumb actor thumb bicker thing like whether yogi bear moral existential nihilist anna doesnt show video anyone one know week birthday mum serf ultimatum need move shed get haircut doesnt put gender question stop dressing like homeless teenager naturally anna tell mum back foff however school friend come visit anna selfimposed isolation becomes impossible maintain soon entangled troubled eight year old boy obsessed western local estate agent whose awkward interpersonal skill continually undermine attempt seduce anna deeply grieving death twin brother retreating take mother nagging grandmother wisdom brendans infatuation troubled little boy going lifealtering experience get rut
 short , documentary ,jenny mcconnachie ventured south africa husband chris setup clinic serve poor squatter itipini decade later become ray hope thousand sacrifice inspired local international volunteer give back
 adventure , comedy ,two year since government started nuclear warfare two brother alex josh go looking survivor need supply find group people give much supply josh ryan get knocked alex luke sean dont know wake figure happened
 documentary , short ,may sign social evolution devolution others day men removing trace primate origin talking shoulder back men eliminating hair chest arm leg hand often manscaping short gone mainstream long short body hair documentary uncovers male body hair along growing counterculture movement taking pride shame furry mane
 reality-tv , comedy ,television comedienne ulrika jonsson qv present series comedy programme member general public volunteer make public exhibition allowing videotape recorded disastrous wedding day honeymoon holiday shown interviewed ulrika misfortune misadventure one happiest memorable day life reason beyond control turn nightmare becomes unforgettable wrong reason
 action , documentary ,hundred thousand dollar bounty million dollar execution choosing former launch hero bounty hunter allout fight stay alive feature film debut international fitness model trish stratus bounty hunter sexy action packed ride
 horror , documentary ,last band traveling gypsy killed make way development st george island year life breathed back ancient terror vengeance mind trespasser st george island murdered gruesome fashion
 short , documentary ,abstract journey evolution society human behavior human story undulates ancient ritual industrialization shadowing plight human animal time human story based live performance free form film festival toured north america
 thriller , drama ,story revolves around sequential incident serialpsycho killing married woman high class society suffering obsession lust sexual perversion case come limelight noyonika choudhury elder daughterinlaw minister sayan choudhury brutally murdered forensic postmortem report revealed sexual involvement culprit prior murder case taken senior officer special branch kolkata police assisted group three officer sanjib zinia sharmi official remained perplexed motive discover sequential gap two day murder victim married belonging high society sexually perverted also found name victim starting initial n finally long round hide seek game crime lovebird sanjib zinia culprit bikramjit sinha roy get trapped confesses infidelity beloved wife nibedita motive behind brutality confession reveals tragedy bikramjit infected hiv positive carried wife husband away got sexually involved infected partner
 mystery , drama ,old secondhand shop sell old clothes spirit dead still alive within thread market explodes shopper around world desperately want old clothes old secret story julia work small quiet secondhand store named laboom exklusiv old shop hidden old street old part town boyfriend maximilian van helder study business ivy league university top class maximillan little respect girlfriend work think try find something meaningful friend university colleague pinot garcia planned outrageously controversial topic thesis magic wizardry impact economic process professor gtz reject idea threatens discharge pinot institution october week halloween german call day dead maximilians night plagued visually enticing dream late night sleepless walk begin discover mysterious thing secondhand store among whispering voice mannequin shop window appear come life newspaper tv breaking news secondhand clothes hottest trend one explain suddenly frantic customer begin storming quiet laboom secondhand shop search special item pinot thesis may get proof need old clothes contain spirit emotion previous owner secret power hidden deep within thread end secondhand shop shop gate soul reunited
 news , reality-tv ,tired feeling like helpless traveler groundbreaking news show travel detective cbs news travel editor peter greenberg empowers viewer travel news musthave information insider secret known select industry minute episode greenberg team acclaimed expert including editor wall street journal travel weekly give viewer tool access need take charge every trip master process travel
 short , documentary ,lindsay crouse star mamet former wife talk mamet making film apparently got movie business introducing director sidney lumet long road getting house game made originally peter yates direct unable mamet offered job crouse focus mamet directing style like work experience acting alongside joe mantegna ricky jay others interview divided chapter
 comedy , drama ,susana girl sent work small coast village south spain woman village receive cold shoulder susana find resentful towards husband used fish close home fish far away month month susana give woman lesson living together men would consider going back old way make fall love
 animation , drama ,set distant universe main character harrison soldier rebellion galactic organization called atlas however harrison dishonorably discharged became emotionally unpredictable mother died story begin month discharge month mother death harrison work mother scientific research company known genesis research development enterprise focus attempt revitalize plant natural life planet natural essentially died harrison help mother old colleague dr camal dr anna may attaining rare flower criminal hope use illegal trading drug use one harrison mission go awry find strange lost little girl panala different planet agrees take home harrison panala soon discover mysterious power may become danger entire universe
 short , documentary ,story bass babloon field cotton belongs kibbutz mishmarot meir ariels song talk development disintegration kibbutz movement along age super eight camera meir captured working spirit pioneer hard earth labour song continues portray hardship kibbutz encountered see visuals filled nostalgia love difficult earth film edited archive material
 comedy , music ,adventure warren orlando manicdepressive prog rock radio dj show interweaves event warren downward spiraling life homemade music video forgotten song play show support extinct music
 action , comedy ,mile gatteo gentleman worth billion dollar lose soon exwife week sign paper crumble entire empire hiring hitman risky even riskier mile lean advice best friend franklin rhodes warden ratchet island prison known housing ugliest worst criminal serving life amongst also mastermind convict put holding tank consisting two electronics mastermind destroy tap womens life mission kill without ever touching
 comedy , drama ,mr croquignolle afflicted terrible hardship wife gruff stingy keep spoiling life one day band gangster know take head kidnap hope claiming heavy ransom poor devil moment mr croquignolle becomes hostage life becomes hell extent beg husband take back shrewish half price course
 drama , comedy ,title hong kong drama obvious takeoff citizen cane citizen king johnson lee downandout chinese actor dream make hollywood hong kong doesnt get king meet sleazy american producer promise king make audition tape get set hollywood king enlists martial art legend gordon liu kill bill help create performance lifetime part romance part black comedy citizen king shot black white english highly atypical hong kong movie filmmaker johnson lee ching long pull together mix bag melodrama black comedy mocumentary cinematic homage ironically compelling feature citizen king truly hyperbole hong kongs identity crisisa chinese movie shot english good film bad actor romance king biggest fan farini chan particularly moving citizen king undeniably fascinating unique item hong kong cinema
 documentary , drama ,griefwalker extraordinary portrait harvardtrained theologian stephen jenkinson teach death empowers u live must know grief well order appreciate life many may find jenkinsons belief death something denied avoided befriended challenging point every culture fear death film carry viewer life confronting death well learning help people die well combining beautiful imagery impermanence nature actuality dying griefwalker weave illuminating picture remarkable man leaf u deeper understanding death could held prized possession
 reality-tv , documentary ,featuring interview numerous friend family celebrity couple leading royal family expert secret royal nursery go behindthescenes monarchy revealing development duke duchess cambridge world expect coming month birth assuredly world famous celebrity baby future king queen united kingdom special also chronicle catherine williams marriage leading pregnancy intense global attention immediately generated started affect royal family fashion medium provide detailed look history royal baby potential name first child
 adventure , documentary ,witness journey two lucky wave compassion sweepstakes winner experience onceinalifetime surfing boat trip remote mentawai island indonesia watch learn surfer eye hard reality behind idyllic palm malaria lifethreatening disease lurk local people find crew surfing doctor surf aid international working jungle help save life improve living condition mentawai people see top surfer day score dream barrel epic session
 comedy , sci-fi ,freak accident jerkin lotion factory turn humble barnyard rooster hulking freakish chickenfried killing machine army close ray team scientist attempt stop angry fowl causing destruction mankind
 comedy , drama ,enginedriver matys rescue locomotive affectionately call lisa second world war divebombers however wounded attack recovering home look forward end war able ride repaired locomotive war finally come end matyss soninlaw vojta enginedriver day son born vojta get drunk forgets duty called cannot found colleague persuade old matys secretly substitute vojta
 short , drama ,bruna young artist new york develops obsession imaginary lover gerard man three time age suburban family deems insane demand affair end question whether gerard exists world
 horror , drama ,dr han rape lab assistant one night rather go police victim keep quiet bringing subject month later inform doctor pregnant attempt blackmail lead accidently falling cliff however ghost allow han forget crime
 animation , documentary ,princess miranda life father sea king two sister magical palace beautiful voice merfolk kingdom miranda always consuming curiosity human world reason human treat world love respect mirandas th birthday permitted first glimpse human world wonder
 short , comedy ,follow quirky short film girl decides stalk best friend stalker emily learns boy named grover following friend roommate melissa around decides confront shes taken loop convinces invented relationship may best kind fighting problem imaginary bliss real real grover tell emily see point cant help tease grover popping every time he trying watch melissa convince follow instead
 short , comedy ,story cary superficial otherwise typical la girl carjacked push away best friend break fianc
 reality-tv , documentary ,beginning part spectacular view sanriku coast come miyako visiting ryusensondong one three major japanese cave stronghold took sanriku railroad north excursion line ran part area five day later receiving great damage earthquake
 documentary , drama ,elia katz study eric kroll kroll life life celebrated photophilosopher los angeles creating surreal happening public guerrilla photoshoots beautiful model giving glimpse thing inspired create unique enormously influential body work
 short , horror ,two child come across dead body walking home along backwoods new brunswick trail asked stay scene officer arrives tension rise day turn night kid realize theyre one know location body two child come across dead body walking home along backwoods new brunswick trail asked stay scene officer arrives tension rise day turn night kid realize theyre one know location body
 short , drama ,young man fell love girl deceiving gave world broke hurt treating wrong begin turn man wasnt attended turn person player disrespectful eventually find woman love begin get back life want ex try come back picture young man fell love girl deceiving gave world broke hurt treating wrong begin turn man wasnt attended turn person player disrespectful eventually find woman life begin get back life want ex try come back picture
 adult , short ,middle night handsome young man struggle insomnia result receiving prank phone call fall sleep three different erotic dream tryst hunk suburban backyard pool erotic yet disturbing vampire sequence voyeuristic fourway french sailor set homage jean genet
 comedy , drama ,love story different generation school girl love gamer taxi driver harbor secret love past twenty year love young woman celebrity also fading love married couple husband affair
 mystery , short ,garroter head swivel long youve watched realism manner tracking assailant chill bone subtlety raise hair back neck realize horror screen might easily creep behind real life given time particular place
 comedy , drama ,edoardo meet immediately fall love edith soon decide marry wedding edoardo know anna ediths best friend wife brother last fake marriage since sacha homosexual incredibly edoardo loses mind anna become soon lover two couple spend time together venezia edoardo continuously shared edith anna wont take long
 drama , documentary ,one last yiddish film made poland nazi invasion film tell story mother persistent struggle support three child prewar world war ii polish ukraine family pulled apart severe poverty turmoil war child make way new york turn hebrew immigrant aid society help
 short , drama ,roof short psychological thriller follows christina marshall college sophomore visit woodland cabin shared meryl older sister james meryls frustrated novelist boyfriend begin friendly check see meryls adjusting country life take unsettling turn james make sexually aggressive pas christina blinded james manipulation meryl refuse see truly christina must take drastic action save clutch
 thriller , short ,sunny fall morning sam doris hickle foster child find held captive masked man looking donnie mihn doris twin brother killer question sam doris anne truth come light slowly learn everything horrific hide behind mask
 comedy , drama ,melvin left altar best friend larry lost dad fed deadend life head china hoping fresh start melvin elementary school teacher wouldbe writer grammar textbook deal big china publishing perhaps success entice former fianc scarlet take back he hitting girl pulse larry merrily tote around ash recently deceased father way getting quality time stubbornly cling past even though theyve traveled far escape china however put gauntlet life lesson eventually learn art letting go melvin meet kindred soul lily larry find actually able forgive story doesnt end china one test threatens much friendship
 adult , short ,beautiful virile well hung muscular guy mercilessly fuck young twinks young unusual place garage doctor office even cloakroom
 documentary , drama ,two young architect ragnar martta ypy known mirri buy mm camera together start filming everyday life vyborg one year later life vyborg change irrevocably soviet union attack finland winter war destroyed city mirri flees countryside stay vyborg helping repair bomb damage carry filming
 romance , drama ,raja jeetendra life widowed sister divya meena kumari small village constantly made target oppressive local zamindar two child sagar chanchal land owner child decide take revenge raja getting sagar married raja sweetheart neela zamindar also molests raja sister kill neela married sister dead devastated raja head city attempt put life together try forget past meet another victim zamindar bajrangi mehmood together conceive plan avenge oppressor question succeed victim
 comedy , drama ,expatriate aptitude nothing except professional ruse fraud return native country decade later find longs remained day yore aim reconstruct use sole aptitude
 thriller , short ,upon time city boceno coming writer ecila find curiosity spiraling control plunging midst unique visual world ignoring advice flee city boceno ecila trail peculiar pink moped twisted road creased slew masquerading character omnipresent danger ink ecilas page wonderland adventure
 drama , documentary ,story contemporary version ancient greek myth electra electra young girl foreigner land well land place could seek identity private world try create africa europe film puzzle composed piece broken identity electra journey finally land
 documentary , drama ,escaping chinese bullet geshe tsulga made way india make new life suffering hardship life india rebuilding monastery geshe la life take another unexpected turn asked go u teach dharma
 drama , documentary ,manifesto draw writing futurist dadaists fluxus artist suprematist situtationists dogma artist group musing individual artist architect dancer filmmaker editing reassembling collage artist manifesto ultimately questioning role artist society today performing new manifesto inhabiting thirteen different persona among school teacher puppeteer newsreader factory worker homeless man cate blanchett imbues new dramatic life famous word unexpected context intricate collage art manifesto ranging situationism stridentism thomas vinterberg qv lars von trier qvs dogme avantgarde dada chameleonic cate blanchett qv delivers manifesto embodying distinct persona linear theoretical meditation artistic idea interpreted performer intricate alter ego mean radical transformation raving homeless man fifthgrade teacher despotic russian choreographer confident anchorwoman twelve manifesto thirteen archetypal character primal need comprehend individual world surround u
 comedy , drama ,garadoux beaten wife lawyer fremissin young shy therefore efficient two year garadoux trying seduce cecile prefers fremissin shy inexperienced lawyer frmissin defends garadoux charged illtreated wife frmissin fails miserably whereupon garadoux sentenced prison two year pas frmissin fall love beautiful ccile try win meanwhile garadoux widower released prison asks cciles father thibaudier cciles hand
 comedy , horror ,night wedding george get drunk marries chorus girl boyfriend appears fight believed dead bridegroom widow die brutigamswitwe come back one another must hide police believe murdered inspector belief ghost house
 drama , horror ,movie take place villa one night group friend celebrate wedding couple later party engage game impersonate become absorbed game party come end beginning enjoy game unaware consequence
 talk-show , documentary ,hourlong oneonone interview program provides rare insightful look life career legendary entertainer diahann carroll taped live washington dc george washington university jack morton auditorium saturday may program seventh historymakers evening series television journalist moderator managing editor washington week gwen ifill interviewed actress singer diahann carroll discover financial service llc serving event title sponsor interview carroll tell life story share experience working entertainment industry offer feeling pioneer inspiring future minority actress talk time working sitcom julia working sydney poitier oscar nomination working primetime soap opera dynasty different world
 documentary , short ,trans narrative primarily function dialog friend culture generation addressing issue representation identityformation various force act together build dismantle community specifically film analyzes construction transmasculine community inside larger cultural framework form regulation self otherwise must partake part community cost goal video present cohesive image transmasculinity task impossible perhaps even irresponsible goal instigate conversation amongst feminist queer transfolks anyone else invested radically shifting way construct personal historical narrative sitting somewhere fiction nonfiction experimental film genre film fragmented complicated subject matter audience presented disparate narrative home video dramatic reenactment poetry round table conversation people discus reaction issue presented film yet flow seamlessly one see influence marlon riggs tongue untied jean rouchs chronicle summer work spirit great experimental film audience asked work meaning making main character happy ending certainly one position taken filmmaker film participant trans narrative striking endeavor speak community represents integrity resonate anyone ever struggled reconcile identity community come frombelong
 drama , comedy ,four girl tempted money earned prostitution meet men paid date hongkong enjoy thrill consumerism fullest however time learn way nothing come without price
 romance , drama ,ik kudi punjab di story girl challenge male dominated society punjab want treated par boy say difference boy girl know truth something else heroine understands struggle going easy prepared make sacrifice fight lover parent relative hero understands feelingsthat want want help face parent find wonderful world theatre help achieving goal background punjab university campus chandigarh give authentic realistic feel film win odds let hope going much difficult painful journey thought
 short , documentary ,th anniversary release apollo director ron howard producer brian grazer look back film helped define career two america greatest cinematic storyteller well illuminate lesson learned applied later work well way film impacted broader moviemaking
 comedy , drama ,rich man betrayed best friend lost fortune exgirlfriend felt sorry took later found mother put away money safe order get money find clue among mother former patient
 drama , short ,imagine summer last several day montreal swimming sweltering heat smog imagine city downtown core woman holding small video camera approach asks participate onequestion survey although slightly wary proposal stop listen asks happiness mean awaits answer go waiting answer happiness sad song tell disjointed story annemarie unemployed publicist pounding pavement montreal minicam collecting testimonial subject happiness happiness appears seek understand point obsessed quest guided serendipity series surprising varied encounter annemarie dive headfirst project meet medley character engages engrossing thoughtprovoking discussion happiness annemarie move one character next one idea next survey gathering reaction challenging viewpoint give chance reflect upon life obsession explained survey video camera
 documentary , comedy ,ultimate guide penny pinching talk several people go extreme length save money judith us coupon voucher save money grocery store jonathan find cook roadkill order save money meat rebekah stephen plan extremely thrifty wedding jalaj us technology maximize saving
 action , documentary ,john cena life highlight spectacular rise john cena chronicling amazing success ring pop culture world music movie television see rise john cena complete candid interview family friend wwe rival
 fantasy , adult ,sexy kristyna dark smoking hot body strawberry blonde hair clear waist deranged stalker kristyna pay first ever visit beautiful city seattle unaware evil man watching every move feel hand come hard mouth kicking screaming locked trunk car driven away soon frightened blonde find totally bound gagged mercy madman strip clothes grope breast squirm moan fear kristyna totally helpless captor bind sweet body time time hauled dungeon created bondage continue enough moment locked wire cage still stringently bound tightly gagged left night next day captor gloating going slave forever kristyna know hope survival escape never leaf unbound moment escape seems impossible somehow get away even survive find thrilling shocking conclusion stalked seattle
 news , documentary ,ted koppel examines unforeseen consequence california controversial three strike law state overcrowded prison examines fundamental question punishment v rehabilitation prison system overtly employ segregation method help maintain order
 comedy , drama ,people ive slept promiscuous woman find unplanned pregnancy need figure baby daddy isnow angela yang love sex love much need make baseball card lover help remember shes doesnt think twice lifestyle find shes pregnant gay best friend gabriel lugo tell take care conservative sister juliet persuades angela get married baby father lead normal life like angela listens sister chooses keep baby go quest find identity father mean necessary
 short , drama ,fastpaced drama sexual harassment workplace child perspective beautiful dreamer salon owned eva single parent manages juggle client employee daughter day work multicultural clientele interact hilarious sequence equally diverse hairdresser film allows deeper look sexual harassment job issue lie surface everyday life workplace
 short , comedy ,applicant submitted minute video chosen field entry spanned nation state within u juror consisted kalamazoo college faculty staff student along regional social justice leader evaluated entry application reviewed three juror finalist awarded brought kalamazoo college oct present video make case project audience consisting second jury finalist kalamazoo college campus member invited guest general public one project receive global prize end weekend gathering
 drama , documentary ,quinns life fell apart night abused former twink star gay porn circuit quinn top game drug addiction sex attack caused descend nightmare addiction suicidal ideation mental health issue quinn give final interview budding film maker deranged savage twink
 animation , comedy ,frog modern rendering golden age cartoon chase run stretch squeeze frog follows zany adventure frog ferret unusual travelling duo frog tasty amphibian drooled every predator around pond including ferret starving rodent want nothing get teeth frog creature vying frog flavour regularly thwart ferret appetite consequently ferret spends time rescuing frog imminent digestion frog slapstick series full energy humour fastmoving contemporary minifables feature appearance wellknown character literature cinema frog soon classic family audience
 adventure , drama ,group young kiwi recruited secret organization act spy attempt save world various fiendish villain plan world domination time contend mundane problem teenage life
 reality-tv , documentary ,spirit horse therapeutic ranch denton tx us cutting edge research horse therapy help veteran ptsd traumatic brain injury along child young people special need including variety mental physical condition including ground breaking therapy alzheimers cost first word first step phrase often use theyve seen child young adult speak first time take first step sit first time word mother child syndrome progress made spirit horse therapy nothing short miracle
 comedy , drama ,amy seemingly perfect life great marriage overachieving kid beautiful home career however shes overworked overcommitted exhausted point shes snap fed join force two overstressed mom quest liberate conventional responsibility going wild unmomlike binge long overdue freedom fun selfindulgence putting collision course pta queen bee gwendolyn clique devoted perfect mom amy hardworking mom caring two child shuttling activity pick slack lazy husband work company filled millennials work ethic clue life even unproductive nonsense endure good mom particular pta meeting pta function leaf time relaxation one day rebel system decides let go ditching unnecessary b life gain friend among mom two particular carla kiki pit president pta gwendolyn james nasty piece work
 comedy , drama ,michael former college indie rocker who new dad sure feel life comfortable domesticity wife helen sure feel michael sureespecially he one always opting crazy evening watching netflix couch six pack tall boy safely nearby perhaps michael make one last great grasp rock stardom finally find complete certain nodoubtaboutit contentment far eluded franklin recently divorced college professor who convinced he loser one love ever ever cerebral suspicion yearold poetry student mary want body bad however creates internal crisis significance even man who viewed entire adult life one long series continuous internal crisis lloyd aspiring novellaist reluctant parttime notary who successful eating nacho shunning commitment longtime onagainoffagain friend kit backed corner kit newfound romantic certainty lloyd opt free lifestyle syndicated daytime television semicompetitive sport involving kooshballs choose love lefty loosey righty tighty story three friend precipice middleage old young young old
 adventure , documentary ,hour nonstop monster truck action spectacular crash flip wicked rollover racing wheelies donut lot motor mayhem set hot music soundtrack ear shattering live sound effect includes famous monster truck bigfoot tailgator double trouble bounty hunter tuff truck quad racing transaurus kid kj freestyle motocross
 comedy , drama ,franois et dorianne forment un jeune couple typique de la banlieue un enfant un bungalow une piscine et un voisin pour le moins envahissant franois est citadin dans lme et travaille au centreville de montral il se sent en quelque sorte coinc dans le trafic de s idaux sur lautoroute de sa vie quelque part entre le rythme trpidant de la ville et le quotidien pantouflard de la banlieue
 thriller , drama ,troubled utah teenager run across series article new york time chronicling vicious murder committed grandson brigham young becomes swept psychological atavistic effect antique mormon ritual known blood atonement
 music , documentary ,music relief responding typhoon haiyan provide immediate relief million people impacted storm caused flooding landslide massive destruction southern california band linkin park offspring bad religion joined force stage intimate concert event artist along special guest help raise money deliver critical medicine emergency medical service emphasis water sanitation disease prevention effort via music relief partner ground international medical corp music relief founded linkin park c nonprofit organization dedicated providing aid survivor natural disaster prevention disaster join linkin park offspring bad religion special guest night music happening live club nokia los angeles
 drama , comedy ,life going well bob jones great job beautiful loving wife baby way find kidney cancer leave dead within month set videotape life acquired wisdom child end voyage selfdiscovery reconciliation bob gail jones expecting first child bob diagnosed kidney cancer possibly take life child born heartbroken prospect ever getting know child decides make video life child know bob dying cancer wife gail expecting first child prognosis month life left bob decides record every aspect life video tape
 drama , documentary ,abducting tourist magical trip year history indian woman special power dispute antagonist owner huge hacienda good bad clash civilization initiated brought america
 comedy , documentary ,kim houang michel boudriau two cop life death since met orphanage best cop france parisian region police station yet one responsible thwarting wave attack
 drama , documentary ,fall shogundominated japan new government order people awaji near kobe relocate northern part hokkaido people supported displaced samurai older day two year settled new land leadership hideaki husband shino however crop fail go sapporo learn new technique farming leaving wife daughter year time new community constantly watched government choose uproot new home
 action , short ,sapna uncredited star low budget actionadventure film actually listed film credit never appear onscreen would appear wrong credit spliced cgrade masterpiece
 comedy , drama ,father dy cuban man raised united state learns abandoned mother illegally taken cuba go back island helped search cousin taxi driver
